customer_id,name,city,signup_date,age,is_premium
1,Malika Karimov,Nukus,2023-02-28,35.0,False
2,Farrukh Tashkentov,Namangan,2024-05-25,43.0,True
3,Zarina Rashidov,Andijan,2024-11-12,61.0,False
4,Malika Xolmatova,Nukus,2024-04-20,51.0,True
5,Shahnoza Yusupova,Bukhara,2024-11-30,27.0,False
6,Anvar Nazarova,Termez,2023-07-09,53.0,False
7,Dilnoza Karimov,Andijan,2024-11-17,31.0,False
8,Sardor Tashkentov,Andijan,2024-07-16,48.0,True
9,Zarina Rahimova,Nukus,2024-07-20,32.0,False
10,Nodira Karimov,Samarkand,2023-09-01,25.0,False
11,Shahnoza Tashkentov,Bukhara,2024-05-19,31.0,False
12,Shahnoza Nazarova,Nukus,2023-05-11,40.0,False
13,Zarina Yoldashev,Bukhara,2024-04-29,57.0,False
14,Anvar Alimova,Bukhara,2024-10-08,38.0,False
15,Aziz Saidova,Termez,2023-01-21,33.0,True
16,Nigora Ergashev,Andijan,2023-06-16,62.0,False
17,Kamola Sodiqov,Namangan,2023-10-01,,False
18,Farrukh Rashidov,Termez,2024-01-23,64.0,False
19,Bekzod Saidova,Termez,2024-08-23,41.0,False
20,Otabek Yusupova,Bukhara,2023-11-12,43.0,False
21,Sardor Nazarova,Fergana,2023-01-14,42.0,False
22,Malika Sodiqov,Andijan,2023-08-30,62.0,False
23,Madina Mirzayev,Samarkand,2023-12-12,58.0,True
24,Farrukh Saidova,Termez,2024-07-18,,True
25,Dilnoza Ergashev,Namangan,2023-12-06,32.0,True
26,Rustam Rahimova,Fergana,2023-04-02,62.0,False
27,Malika Abdullayeva,Fergana,2024-01-02,18.0,False
28,Sherzod Yusupova,Samarkand,2024-03-30,42.0,False
29,Shahnoza Alimova,Termez,2024-03-03,,False
30,Nodira Abdullayeva,Namangan,2024-05-23,26.0,True
31,Madina Mirzayev,Andijan,2023-02-04,41.0,False
32,Bekzod Ergashev,Tashkent,2023-07-25,18.0,False
33,Sardor Karimov,Namangan,2023-03-22,61.0,True
34,Zarina Saidova,Samarkand,2024-07-15,25.0,True
35,Gulnora Yusupova,Fergana,2024-01-23,41.0,True
36,Zarina Nurmatov,Andijan,2023-01-02,28.0,True
37,Malika Nazarova,Namangan,2024-01-25,34.0,False
38,Farrukh Yoldashev,Tashkent,2024-07-19,25.0,False
39,Madina Rashidov,Tashkent,2023-04-16,52.0,False
40,Madina Sodiqov,Bukhara,2024-04-21,52.0,False
